id,criteria,baseGameWins,freeGameWins,payoutMultiplier
542,0,0.0,0.0,0.0
543,0,0.0,0.0,0.0
544,0,0.0,0.0,0.0
545,0,0.0,0.0,0.0
546,0,0.0,0.0,0.0
547,basegame,1.9,0.0,1.9
548,0,0.0,0.0,0.0
549,0,0.0,0.0,0.0
550,0,0.0,0.0,0.0
551,0,0.0,0.0,0.0
552,0,0.0,0.0,0.0
553,0,0.0,0.0,0.0
554,basegame,0.79,0.0,0.79
555,0,0.0,0.0,0.0
556,basegame,0.28,0.0,0.28
557,0,0.0,0.0,0.0
558,0,0.0,0.0,0.0
559,0,0.0,0.0,0.0
560,basegame,0.09,0.0,0.09
561,basegame,1.96,0.0,1.96
562,0,0.0,0.0,0.0
563,basegame,0.56,0.0,0.56
564,0,0.0,0.0,0.0
565,0,0.0,0.0,0.0
566,0,0.0,0.0,0.0
567,0,0.0,0.0,0.0
568,0,0.0,0.0,0.0
569,basegame,1.45,0.0,1.45
570,0,0.0,0.0,0.0
571,0,0.0,0.0,0.0
572,basegame,0.14,0.0,0.14
573,0,0.0,0.0,0.0
574,0,0.0,0.0,0.0
575,0,0.0,0.0,0.0
576,0,0.0,0.0,0.0
577,basegame,0.17,0.0,0.17
578,0,0.0,0.0,0.0
579,0,0.0,0.0,0.0
580,0,0.0,0.0,0.0
581,0,0.0,0.0,0.0
582,freegame,0.0,9.6,9.6
583,0,0.0,0.0,0.0
584,0,0.0,0.0,0.0
585,0,0.0,0.0,0.0
586,0,0.0,0.0,0.0
587,basegame,0.56,0.0,0.56
588,0,0.0,0.0,0.0
589,basegame,3.35,0.0,3.35
590,basegame,2.42,0.0,2.42
591,0,0.0,0.0,0.0
592,basegame,0.14,0.0,0.14
593,basegame,0.56,0.0,0.56
594,basegame,0.14,0.0,0.14
595,0,0.0,0.0,0.0
596,0,0.0,0.0,0.0
597,0,0.0,0.0,0.0
598,0,0.0,0.0,0.0
599,basegame,3.35,0.0,3.35
600,0,0.0,0.0,0.0
601,0,0.0,0.0,0.0
602,0,0.0,0.0,0.0
603,0,0.0,0.0,0.0
604,0,0.0,0.0,0.0
605,basegame,1.34,0.0,1.34
606,0,0.0,0.0,0.0
607,0,0.0,0.0,0.0
608,0,0.0,0.0,0.0
609,0,0.0,0.0,0.0
610,0,0.0,0.0,0.0
611,0,0.0,0.0,0.0
612,0,0.0,0.0,0.0
613,0,0.0,0.0,0.0
614,0,0.0,0.0,0.0
615,0,0.0,0.0,0.0
616,0,0.0,0.0,0.0
617,0,0.0,0.0,0.0
618,0,0.0,0.0,0.0
619,0,0.0,0.0,0.0
620,0,0.0,0.0,0.0
621,basegame,0.19,0.0,0.19
622,basegame,0.23,0.0,0.23
623,0,0.0,0.0,0.0
624,0,0.0,0.0,0.0
625,freegame,0.22,0.02,0.24
626,0,0.0,0.0,0.0
627,basegame,0.33,0.0,0.33
628,0,0.0,0.0,0.0
629,0,0.0,0.0,0.0
630,basegame,0.56,0.0,0.56
631,0,0.0,0.0,0.0
632,basegame,2.12,0.0,2.12
633,0,0.0,0.0,0.0
634,basegame,0.28,0.0,0.28
635,0,0.0,0.0,0.0
636,0,0.0,0.0,0.0
637,0,0.0,0.0,0.0
638,basegame,0.17,0.0,0.17
639,basegame,5.11,0.0,5.11
640,0,0.0,0.0,0.0
641,basegame,0.42,0.0,0.42
642,basegame,0.74,0.0,0.74
643,0,0.0,0.0,0.0
644,basegame,0.89,0.0,0.89
645,0,0.0,0.0,0.0
646,0,0.0,0.0,0.0
647,0,0.0,0.0,0.0
648,0,0.0,0.0,0.0
649,0,0.0,0.0,0.0
650,0,0.0,0.0,0.0
651,basegame,0.69,0.0,0.69
652,0,0.0,0.0,0.0
653,basegame,1.0,0.0,1.0
654,basegame,0.56,0.0,0.56
655,0,0.0,0.0,0.0
656,0,0.0,0.0,0.0
657,0,0.0,0.0,0.0
658,0,0.0,0.0,0.0
659,0,0.0,0.0,0.0
660,0,0.0,0.0,0.0
661,0,0.0,0.0,0.0
662,basegame,0.33,0.0,0.33
663,freegame,0.0,19.99,19.99
664,0,0.0,0.0,0.0
665,basegame,2.51,0.0,2.51
666,basegame,0.11,0.0,0.11
667,0,0.0,0.0,0.0
668,0,0.0,0.0,0.0
669,0,0.0,0.0,0.0
670,0,0.0,0.0,0.0
671,basegame,5.1,0.0,5.1
672,0,0.0,0.0,0.0
673,0,0.0,0.0,0.0
674,basegame,0.19,0.0,0.19
675,0,0.0,0.0,0.0
676,0,0.0,0.0,0.0
677,basegame,1.77,0.0,1.77
678,0,0.0,0.0,0.0
679,0,0.0,0.0,0.0
680,0,0.0,0.0,0.0
681,0,0.0,0.0,0.0
682,0,0.0,0.0,0.0
683,0,0.0,0.0,0.0
684,0,0.0,0.0,0.0
685,0,0.0,0.0,0.0
686,basegame,1.49,0.0,1.49
687,0,0.0,0.0,0.0
688,0,0.0,0.0,0.0
689,0,0.0,0.0,0.0
690,0,0.0,0.0,0.0
691,basegame,0.35,0.0,0.35
692,0,0.0,0.0,0.0
693,0,0.0,0.0,0.0
694,0,0.0,0.0,0.0
695,basegame,2.1,0.0,2.1
696,0,0.0,0.0,0.0
697,0,0.0,0.0,0.0
698,0,0.0,0.0,0.0
699,basegame,1.49,0.0,1.49
700,0,0.0,0.0,0.0
701,0,0.0,0.0,0.0
702,0,0.0,0.0,0.0
703,basegame,0.44,0.0,0.44
704,basegame,0.09,0.0,0.09
705,basegame,0.28,0.0,0.28
706,0,0.0,0.0,0.0
707,0,0.0,0.0,0.0
708,0,0.0,0.0,0.0
709,0,0.0,0.0,0.0
710,0,0.0,0.0,0.0
711,basegame,0.28,0.0,0.28
712,0,0.0,0.0,0.0
713,0,0.0,0.0,0.0
714,basegame,1.75,0.0,1.75
715,0,0.0,0.0,0.0
716,0,0.0,0.0,0.0
717,0,0.0,0.0,0.0
718,0,0.0,0.0,0.0
719,0,0.0,0.0,0.0
720,0,0.0,0.0,0.0
721,basegame,0.56,0.0,0.56
722,0,0.0,0.0,0.0
723,basegame,0.09,0.0,0.09
724,0,0.0,0.0,0.0
725,basegame,3.72,0.0,3.72
726,0,0.0,0.0,0.0
727,0,0.0,0.0,0.0
728,0,0.0,0.0,0.0
729,0,0.0,0.0,0.0
730,basegame,0.19,0.0,0.19
731,0,0.0,0.0,0.0
732,0,0.0,0.0,0.0
733,0,0.0,0.0,0.0
734,0,0.0,0.0,0.0
735,0,0.0,0.0,0.0
736,basegame,0.09,0.0,0.09
737,0,0.0,0.0,0.0
738,0,0.0,0.0,0.0
739,0,0.0,0.0,0.0
740,0,0.0,0.0,0.0
741,basegame,0.79,0.0,0.79
742,0,0.0,0.0,0.0
743,0,0.0,0.0,0.0
744,0,0.0,0.0,0.0
745,basegame,1.55,0.0,1.55
746,0,0.0,0.0,0.0
747,basegame,0.14,0.0,0.14
748,0,0.0,0.0,0.0
749,0,0.0,0.0,0.0
750,0,0.0,0.0,0.0
751,0,0.0,0.0,0.0
752,0,0.0,0.0,0.0
753,0,0.0,0.0,0.0
754,0,0.0,0.0,0.0
755,basegame,1.91,0.0,1.91
756,0,0.0,0.0,0.0
757,0,0.0,0.0,0.0
758,0,0.0,0.0,0.0
759,0,0.0,0.0,0.0
760,0,0.0,0.0,0.0
761,basegame,2.79,0.0,2.79
762,basegame,1.95,0.0,1.95
763,0,0.0,0.0,0.0
764,0,0.0,0.0,0.0
765,0,0.0,0.0,0.0
766,0,0.0,0.0,0.0
767,basegame,0.33,0.0,0.33
768,basegame,0.09,0.0,0.09
769,basegame,0.17,0.0,0.17
770,0,0.0,0.0,0.0
771,basegame,4.09,0.0,4.09
772,basegame,0.56,0.0,0.56
773,0,0.0,0.0,0.0
774,basegame,32.27,0.0,32.27
775,0,0.0,0.0,0.0
776,0,0.0,0.0,0.0
777,basegame,8.64,0.0,8.64
778,0,0.0,0.0,0.0
779,0,0.0,0.0,0.0
780,basegame,1.86,0.0,1.86
781,0,0.0,0.0,0.0
782,basegame,5.02,0.0,5.02
783,0,0.0,0.0,0.0
784,0,0.0,0.0,0.0
785,0,0.0,0.0,0.0
786,0,0.0,0.0,0.0
787,0,0.0,0.0,0.0
788,0,0.0,0.0,0.0
789,0,0.0,0.0,0.0
790,0,0.0,0.0,0.0
791,0,0.0,0.0,0.0
792,0,0.0,0.0,0.0
793,basegame,1.4,0.0,1.4
794,basegame,0.84,0.0,0.84
795,basegame,0.39,0.0,0.39
796,0,0.0,0.0,0.0
797,0,0.0,0.0,0.0
798,0,0.0,0.0,0.0
799,0,0.0,0.0,0.0
800,0,0.0,0.0,0.0
801,0,0.0,0.0,0.0
802,0,0.0,0.0,0.0
803,0,0.0,0.0,0.0
804,basegame,1.67,0.0,1.67
805,0,0.0,0.0,0.0
806,0,0.0,0.0,0.0
807,basegame,0.28,0.0,0.28
808,0,0.0,0.0,0.0
809,0,0.0,0.0,0.0
810,basegame,0.19,0.0,0.19
811,0,0.0,0.0,0.0
812,0,0.0,0.0,0.0
813,basegame,0.14,0.0,0.14
814,basegame,0.23,0.0,0.23
815,basegame,0.47,0.0,0.47
816,0,0.0,0.0,0.0
817,0,0.0,0.0,0.0
818,basegame,0.93,0.0,0.93
819,basegame,1.97,0.0,1.97
820,basegame,0.09,0.0,0.09
821,basegame,0.84,0.0,0.84
822,0,0.0,0.0,0.0
823,0,0.0,0.0,0.0
824,0,0.0,0.0,0.0
825,basegame,0.14,0.0,0.14
826,0,0.0,0.0,0.0
827,0,0.0,0.0,0.0
828,0,0.0,0.0,0.0
829,0,0.0,0.0,0.0
830,0,0.0,0.0,0.0
831,basegame,1.38,0.0,1.38
832,0,0.0,0.0,0.0
833,freegame,3.51,9.61,13.12
834,0,0.0,0.0,0.0
835,0,0.0,0.0,0.0
836,basegame,2.85,0.0,2.85
837,0,0.0,0.0,0.0
838,0,0.0,0.0,0.0
839,basegame,0.35,0.0,0.35
