id,criteria,baseGameWins,freeGameWins,payoutMultiplier
488,freegame,0.0,118.03,118.03
489,freegame,0.0,2.56,2.56
490,freegame,0.0,240.25,240.25
491,freegame,0.0,316.37,316.37
492,freegame,0.0,16.4,16.4
493,freegame,0.0,135.71,135.71
494,freegame,0.0,5.06,5.06
495,freegame,0.0,281.88,281.88
496,freegame,0.0,41.86,41.86
497,freegame,0.0,174.49,174.49
498,freegame,0.0,29.1,29.1
499,freegame,0.0,169.3,169.3
500,freegame,0.0,2.79,2.79
501,freegame,0.0,4.92,4.92
502,freegame,0.0,107.27,107.27
503,freegame,0.0,167.89,167.89
504,freegame,0.0,239.77,239.77
505,freegame,0.0,84.92,84.92
506,freegame,0.0,146.49,146.49
507,freegame,0.0,120.87,120.87
508,freegame,0.0,46.91,46.91
509,freegame,0.0,140.78,140.78
510,freegame,0.0,145.09,145.09
511,freegame,0.0,39.18,39.18
512,freegame,0.0,216.88,216.88
513,freegame,0.0,46.8,46.8
514,freegame,0.0,46.31,46.31
515,freegame,0.0,281.41,281.41
516,freegame,0.0,0.39,0.39
517,freegame,0.0,227.66,227.66
518,freegame,0.0,182.88,182.88
519,freegame,0.0,77.06,77.06
520,freegame,0.0,273.82,273.82
521,freegame,0.0,198.81,198.81
522,freegame,0.0,0.81,0.81
523,freegame,0.0,128.14,128.14
524,freegame,0.0,107.75,107.75
525,freegame,0.0,137.79,137.79
526,freegame,0.0,224.0,224.0
527,freegame,0.0,27.96,27.96
528,freegame,0.0,3.14,3.14
529,freegame,0.0,52.6,52.6
530,freegame,0.0,94.53,94.53
531,freegame,0.0,0.91,0.91
532,freegame,0.0,50.96,50.96
533,freegame,0.0,40.12,40.12
534,freegame,0.0,251.13,251.13
535,freegame,0.0,40.93,40.93
536,freegame,0.0,189.2,189.2
537,freegame,0.0,276.38,276.38
538,freegame,0.0,191.05,191.05
539,freegame,0.0,143.48,143.48
540,freegame,0.0,47.68,47.68
541,freegame,0.0,97.18,97.18
542,freegame,0.0,46.44,46.44
543,freegame,0.0,181.7,181.7
544,freegame,0.0,124.75,124.75
545,freegame,0.0,177.89,177.89
546,freegame,0.0,192.64,192.64
547,freegame,0.0,235.06,235.06
548,freegame,0.0,11.94,11.94
549,freegame,0.0,104.03,104.03
550,freegame,0.0,96.91,96.91
551,freegame,0.0,205.5,205.5
552,freegame,0.0,141.59,141.59
553,freegame,0.0,13.52,13.52
554,freegame,0.0,8.47,8.47
555,freegame,0.0,9.52,9.52
556,freegame,0.0,62.44,62.44
557,freegame,0.0,231.63,231.63
558,freegame,0.0,65.7,65.7
559,freegame,0.0,68.09,68.09
560,freegame,0.0,271.17,271.17
561,freegame,0.0,31.76,31.76
562,freegame,0.0,145.04,145.04
563,freegame,0.0,120.38,120.38
564,freegame,0.0,147.43,147.43
565,freegame,0.0,347.04,347.04
566,freegame,0.0,179.46,179.46
567,freegame,0.0,7.38,7.38
568,freegame,0.0,333.81,333.81
569,freegame,0.0,228.35,228.35
570,freegame,0.0,54.1,54.1
571,freegame,0.0,153.96,153.96
572,freegame,0.0,252.77,252.77
573,freegame,0.0,161.36,161.36
574,freegame,0.0,12.53,12.53
575,freegame,0.0,119.48,119.48
576,freegame,0.0,232.65,232.65
577,freegame,0.0,185.26,185.26
578,freegame,0.0,145.47,145.47
579,freegame,0.0,91.84,91.84
580,freegame,0.0,142.71,142.71
581,freegame,0.0,2.1,2.1
582,freegame,0.0,101.36,101.36
583,freegame,0.0,474.92,474.92
584,freegame,0.0,4.59,4.59
585,freegame,0.0,43.09,43.09
586,freegame,0.0,0.68,0.68
587,freegame,0.0,17.65,17.65
588,freegame,0.0,0.06,0.06
589,freegame,0.0,3.1,3.1
590,freegame,0.0,174.06,174.06
591,freegame,0.0,83.38,83.38
592,freegame,0.0,239.12,239.12
593,freegame,0.0,90.96,90.96
